part,done,requests,failed_attempts,input_tok,output_tok,thinking_tok,minutes,cost_usd,usd_per_1000_reviews
part0_control,300/300,20,0,35391,53770,118385,11.4,0.441,1.47
partA_trunc,2790/2790,186,0,454493,508290,1221406,119.4,4.461,1.599
partA_full,2790/2790,191,5,753468,533122,1741585,152.6,5.913,2.119
partC_sentiment,300/300,20,0,23011,3960,44236,3.5,0.127,0.425
partC_score,300/300,20,0,22871,3690,49711,3.9,0.14,0.468
partC_emotion,300/300,20,0,23691,4299,60743,4.9,0.17,0.566
partC_aspects,300/300,20,0,26351,16988,68392,5.9,0.221,0.738
partC_problems,300/300,20,0,24911,3702,63209,4.8,0.175,0.583
partC_economic,300/300,20,0,25111,15198,56168,4.9,0.186,0.62
